Year,Half_Year,Country,std_real_exchange_rate_growth,std_inflation_diff,std_industrial_production_growth
1960,H2,Germany,0.0,0.0,0.0
1961,H1,Germany,1.8022955807821874,0.42323965302004285,3.4436776122504993
1961,H2,Germany,0.4469592210170762,0.2225477250844044,1.3422880630928826
1962,H1,Germany,0.44847034978939904,0.4377536452976113,3.1740154989707823
1962,H2,Germany,0.402818066057084,0.3598347079182962,1.2626675127663378
1963,H1,Germany,0.77808150176784,0.7106460363946454,2.7462722126340755
1963,H2,Germany,0.3537382744753647,0.3830679507869107,1.8700819901636756
1964,H1,Germany,0.37416525626609404,0.2798044395327262,4.407003029147624
1964,H2,Germany,0.34765910722149207,0.2676963609513619,1.454094361241876
1965,H1,Germany,0.14593434056933458,0.2117705992699148,3.075321069429002
1965,H2,Germany,0.1828407788249175,0.21060637603791865,1.1081463824447095
1966,H1,Germany,0.33178174907878294,0.33398070479399866,1.9500306344473806
1966,H2,Germany,0.6276658098538402,0.3713429641989449,2.144561866685273
1967,H1,Germany,0.20258249071270654,0.16307134788259783,0.8636944199194435
1967,H2,Germany,0.2498465760920996,0.22845048311174188,5.601921342531866
1968,H1,Germany,0.3188999192419537,0.45154120978746415,5.80553874209923
1968,H2,Germany,0.37941746915615543,0.24944618324357448,4.524399041732076
1969,H1,Germany,0.28124116320454184,0.31500414169154034,2.951516082865069
1969,H2,Germany,3.51977118335232,0.19360995611257495,1.8530544084485134
1970,H1,Germany,0.44970772812198345,0.523283569412406,3.2415596696885602
1970,H2,Germany,0.2915733883851973,0.15739449551700083,2.804165643674972
1971,H1,Germany,0.9237489919147023,0.42997887615517905,3.937653115364513
1971,H2,Germany,2.285660621347758,0.16376804382249563,2.8773798340213146
1972,H1,Germany,3.1546228497924518,0.4889678420724465,2.381773093311476
1972,H2,Germany,0.7974987806696986,0.3785269702983011,5.687139649761118
1973,H1,Germany,3.2017155674801865,0.4573723011058951,2.3832915744438994
1973,H2,Germany,5.867512876175929,0.38543229824368197,2.9866488275013396
1974,H1,Germany,4.084153077852784,0.591214525069532,1.7375994842929077
1974,H2,Germany,2.7716776454683965,0.43695258830023365,3.937305098680639
1975,H1,Germany,2.059730036088512,0.3624444743825159,3.32317877455465
1975,H2,Germany,2.894159827254795,0.21106097843371577,4.5549935559408015
1976,H1,Germany,1.314479095319354,0.45675909688903077,4.074495363113312
1976,H2,Germany,0.7971608054609433,0.14318978194019663,3.1244489823548234
1977,H1,Germany,0.5552710182073437,0.619436504432592,2.1406154678839164
1977,H2,Germany,2.1073729029064094,0.0956957870492297,1.470680138686997
1978,H1,Germany,2.3458534385192285,0.6141568059468788,3.7038399869927234
1978,H2,Germany,2.9925220717260204,0.17561939137095828,3.301567787601383
1979,H1,Germany,1.6678895602807375,0.8453113407665039,2.471871185286584
1979,H2,Germany,1.3895688866692262,0.6648887353552374,1.8627238629052865
1980,H1,Germany,3.512051448362994,1.060665950853388,3.2359197680320144
1980,H2,Germany,2.0985948085732398,0.39647392043350405,1.7488298178697852
1981,H1,Germany,3.0803100193130986,0.7986084789813584,1.4270425910389681
1981,H2,Germany,3.804555993018666,0.49381709955205977,1.409957130023604
1982,H1,Germany,3.0675528770508556,0.37043501841519194,0.97223915473603
1982,H2,Germany,2.924990909032769,0.14585774905575946,1.1897856171347936
1983,H1,Germany,1.7845656155641383,0.32710506804836664,2.4210149240616112
1983,H2,Germany,2.0870440392115555,0.3542653905302953,2.8892850294273607
1984,H1,Germany,3.3455195725878526,0.3673316629202924,6.4003216930624305
1984,H2,Germany,2.8034142961916375,0.19064008874098345,1.9308105449358992
1985,H1,Germany,3.628810572759353,0.606405960759313,5.468456749177218
1985,H2,Germany,2.955517863253901,0.21412104928259268,1.8965489950120373
1986,H1,Germany,2.153874552279349,0.19155423528074775,1.8355671322765919
1986,H2,Germany,2.0418567651626365,0.16927009034869236,1.2617363954934857
1987,H1,Germany,2.8479794129537335,0.55447167937303,1.86356278056667
1987,H2,Germany,3.1258647026554933,0.2695511486692204,1.7628305641752549
1988,H1,Germany,1.9885259203719403,0.49447752814877793,1.563522619388911
1988,H2,Germany,3.4123323895950364,0.25742941907320865,1.7907426469733352
1989,H1,Germany,1.7349073848895227,0.7913949260595913,2.3731109891626985
1989,H2,Germany,3.0633440957639393,0.173817267073878,1.4345960167047593
1990,H1,Germany,1.7063210126172486,0.5709255754434286,3.394827348371952
1990,H2,Germany,1.6851648717076573,0.6826868540424866,0.6855576714543308
