Date,Reserves,CPI,Monthly Inflation Rate,Reserves Index,Country
1959-12-01,21504500000,13.48,,27.90465249692432,USA
1960-01-01,21478100000,13.44,-0.29673590504452063,27.87039534954034,USA
1960-02-01,21395700000,13.48,0.29761904761904656,27.763471525887308,USA
1960-03-01,21344700000,13.48,0.0,27.69729294571371,USA
1960-04-01,21278000000,13.53,0.37091988130562026,27.6107417438004,USA
1960-05-01,21234300000,13.53,0.0,27.554035783926157,USA
1960-06-01,21169800000,13.57,0.2956393200295615,27.470339344294842,USA
1960-07-01,20999400000,13.57,0.0,27.249225029361877,USA
1960-08-01,20803400000,13.57,0.0,26.994891662420205,USA
1960-09-01,20430000000,13.57,0.0,26.510360646011943,USA
1960-10-01,20068200000,13.67,0.736919675755332,26.040882012545126,USA
1960-11-01,19558200000,13.67,0.0,25.379096210809145,USA
1960-12-01,19358800000,13.67,0.0,25.120350938522563,USA
1961-01-01,19056200000,13.67,0.0,24.727691362825883,USA
1961-02-01,18978000000,13.67,0.0,24.626217539893034,USA
1961-03-01,18988200000,13.67,0.0,24.63945325592775,USA
1961-04-01,19165100000,13.67,0.0,24.8690020957848,USA
1961-05-01,19196900000,13.67,0.0,24.910266386951868,USA
1961-06-01,19307900000,13.67,0.0,25.054302120270876,USA
1961-07-01,19234600000,13.76,0.6583760058522348,24.959186631511567,USA
1961-08-01,19641500000,13.71,-0.3633720930232509,25.48718789175935,USA
1961-09-01,19520900000,13.76,0.3646973012399579,25.330695013937078,USA
1961-10-01,19171900000,13.76,0.0,24.877825906474612,USA
1961-11-01,18827900000,13.76,0.0,24.4314448951076,USA
1961-12-01,18752900000,13.76,0.0,24.334123453675836,USA
1962-01-01,18649800000,13.76,0.0,24.20033891218764,USA
1962-02-01,18512000000,13.8,0.29069767441860517,24.021526983797017,USA
1962-03-01,18328700000,13.8,0.0,23.783673380937792,USA
1962-04-01,18192400000,13.85,0.36231884057971175,23.6068078813758,USA
